,Sentence
73,i believe that the lane assist feature malfunctioned and cause the vehicle to collided head on with on coming traffic the car took over control of the steering and instead of nudging the car to the right during a curve on the road it overpowered the driver and pulled the car left into traffic at 40 mphdtjb
74,sudden braking caused by automatic braking system on sept 1 2020 i was driving down a neighborhood street going about 30 mph and a car in front of me was turning i was in no danger of hitting the car in front of me however my 2020 mazda cx-5 suddenly braked and made a loud noise granted this car was new to me and i hadnt experienced this before but i was completely surprised given an accident was not imminent this sudden braking caused my head to swing forward and back resulting in neck shoulder and back pain also it resulted in an increased headache upon returning home i turned the sudden braking safety feature off on sept 4 2020 i sudden braking caused by automatic braking system on sept 1 2020 i was driving down a neighborhood street going about 30 mph and a car in front of me was turning i was in no danger of hitting the car in front of me however my 2020 mazda cx-5 suddenly braked and made a loud noise granted this car was new to me and i hadnt experienced this before but i was completely surprised given an accident was not imminent this sudden braking caused my head to swing forward and back resulting in neck shoulder and back pain also it resulted in an increased headache upon returning home i turned the sudden braking safety feature off on sept 4 2020 i
75,tl the contact owns a 2017 nissan rogue the contact stated that while driving at various speeds the automatic emergency braking system erroneously activated causing to the vehicle to abruptly stop and reduce speed there were no other vehicle or large object nearby during the failure the contact indicated that the failure had occurred on multiple occasions the vehicle was taken to the local dealer 112 nissan located at 730 medford ave patchogue ny 11772 however the cause of the failure was not determined the contact was advised to deactivate the emergency braking system the manufacturer was also notified of the failure the failure mileage was 500000
76,owner drove on to a parking lot vehicle lane departure prevention function sensed a white line on the pavement this caused the vehicle to turn left acceleration an uncontrollable fashion the vehicle jumped the curb proceeding into heavy shrubs which damaged the vehicle the shrubs stopped the vehicle
77,while driving on straight highway the vehicles lane keep assist feature which was turned off the default position activated automatically without driver input or warning and caused the steering wheel to turn and abruptly moved the vehicle from side to side this required the driver to take corrective action to force the vehicle to remain straight a considerable amount of force was required to override the automatic steering action
78,adaptive cruise control will fail to turn on after attempting to turn on accelerator pedal will have 2021-05-01 00:00:00 second delay when attempting to accelerate from stopidle causing near collisions since purchase there have been 2021-10-15 00:00:00 episodes where i attempt to turn on adaptive cruise control while on the freeway but the system will not engage i only get 3 beeps and an acc off indication on the dash once this happens for the rest of that drive there is a pedal dead zonesevere acceleration delay when starting from a stop this delay in acceleration has caused several close calls when pulling out with obstructed views as i press the gas pedal but get no
79,tl the contact owns a 1999 ford f-350 the contact stated that while the owner was operating the vehicle the power steering assist malfunctioned the contact indicated that the power steering assist was available while turing the steering wheel to the left however was not available while turning the steering wheel to the right the vehicle was taken to an independent mechanic however the cause of the failure was not determined the manufacturer was not notified of the failure the failure mileage was 19000000
80,while driving in the left-most lane on mopac expressway in austin although has happened other times and places as well with full self driving autopilot engaged and with the car having been in control for quite some time before this the vehicle slammed on the brakes for no apparent reason i immedately pressed the accelerator to override the breaking action and avoid being rear ended to the best of my knowledge no accidents occurred as a result however it did cause multiple cars behind me to have to brake similar issues incidents have happened before however it seems to be doing it much more often now im unable to upload it but i also have a video while driving in the left-most lane on mopac expressway in austin although has happened other times and places as well with full self driving autopilot engaged and with the car having been in control for quite some time before this the vehicle slammed on the brakes for no apparent reason i immedately pressed the accelerator to override the breaking action and avoid being rear ended to the best of my knowledge no accidents occurred as a result however it did cause multiple cars behind me to have to brake similar issues incidents have happened before however it seems to be doing it much more often now im unable to upload it but i also have a video
81,vehicle has under 30000 miles and requires a new power steering module which includes the rack and pinion steering assembly new computer programming and wheel alignment the factory installed power steering assembly module is turning off and back on when off there is no power steering assistance make if very difficult to steer the car especially at slower speeds when the power steering comes back on and the vehicle is at speed it creates a very sensitive steering wheel which causes driver to over steer the vehicle when making a sharp turn like when turning onto another street and the power steering is out the driver has to muscle the steering wheel to make the turn if during that turn the power steering assist
82,twice in the past two weeks while on autopilot the car has decelerated spontaneously and dangerously at the same spot on the freeway the first time almost caused an accident when the car in back of me had to brake suddenly and swerve i thought it was a fluke when it happened the first time but it happened again today luckily no other vehicles were in the immediate vicinity my car had just passed under a large overpass and was near passing under power lines i reported this to tesla via the voice activated bug report feature within seconds of the occurrence
83,tl the contact owns a 2019 nissan rogue the contact stated that the emergency braking system activated independently while driving and pulling out of his driveway the dealer wallace nissan of kingsport 2733 e stone dr kingsport tn 37660 -423 288-5500 informed the contact that the vehicle needed to be diagnosed to know the cause of the failure the contact stated that the forward collision avoidance camera may have detected something in the driveway and activated the automatic emergency brakes the manufacturer had not been contacted the failure mileage was 1000000
84,tl the contact owns a 2013 ford focus the contact stated that after his daughter started the vehicle it was discovered that the electric power steering assist failed and the steering wheel was difficult to turn in either direction the message electric power steering assist message was displayed on the instrument panel the cause of the failure was not determined the local dealer max motors ford located at 2502 cantrell rd harrisonville mo 64701 was notified of the failure the manufacture was not made aware of the failure the failure mileage was 8000000 dt tr
85,on multiple occasions driving at speeds over 60mph for more than 50 miles causes a system alert that says steering assist fault and the power steering goes out the first time i was able to pull over before the power steering went out the next time my boyfriend was driving and he had to veer onto the shoulder most recently my grandmother drove my car to the airport and was unable to get the vehicle out of traffic turning into the airport as she was not strong enough to maneuver the car into the parking lot i regularly keep up with all necessary maintenance and have brought the car to modica brothers as well as a local mechanic and they have both
86,while doing normal city driving in early morning i drove over metal plates on the street which had occasionally in the past caused my automatic braking system cmbs to warn me to brake as if it sensed a hazard but never applied the brakes for me today when going over these plates the cmbs applied full brakes to the car without my touching the brake pedal myself bringing my car to an abrupt stop the car behind me understandably rear-ended me luckily just very minor damage since the car behind me mostly stopped but this is obviously a very serious problem will take to dealership in a couple days for inspection i was under the impression this system could not
87,tl the contact owns a 2021 chevrolet tahoe the contact stated that while driving approximately 30 mph the driver experienced a medical emergency during the incident the pre collision warning system malfunctioned and did not activate causing the vehicle to crash into a steel transformer during the crash the driver sustained fractured ribs that required medical attention a police report was taken at the scene and the vehicle was towed away it was determined that the cause of the crash was due to a failure of the automatic emergency braking system to deploy the manufacturer and local dealer were not yet notified of the failure the failure mileage was 340000 tl the contact owns a 2021 chevrolet tahoe the contact stated that while driving approximately 30 mph the driver experienced a medical emergency during the incident the pre collision warning system malfunctioned and did not activate causing the vehicle to crash into a steel transformer during the crash the driver sustained fractured ribs that required medical attention a police report was taken at the scene and the vehicle was towed away it was determined that the cause of the crash was due to a failure of the automatic emergency braking system to deploy the manufacturer and local dealer were not yet notified of the failure the failure mileage was 340000
88,gases from the dashboard heating cause a film to form between the windshield and the camera because of this in heavy direct sunlight lane keep assist toggles on and off without warning causing unintended lane departures with out warning also when using smart cruise control the vehicle slows to a stop but may continue moving slowly even after displaying the press gas to continue screen the auto hold light does not illuminate
89,on two occasions the acura collision mitigation braking system cmbs engaged erroneously and aggressively 1whilst traveling on an interstate in heavy traffic at a speed of about 50 mph the car we were following momentarily braked then quickly accelerated accordingly our vehicle was braked and upon releasing the brake to continue to follow the flow of traffic the rdxs system misread the clear road ahead and automatically braked hard fully stopping the vehicle the vehicle behind us skidded to the shoulder to avoid hitting us and it almost caused a multi-car pile up 2 while driving on a two-way two-lane road the system engaged while
90,when driving this vehicle on a two lane road the vehicle will give False forward collision alerts from oncoming vehicles in the opposing lane when driving on a four lane highway with adaptive cruise control engaged vehicles driving slower in the lane to your left will cause the vehicle to slow down suddenly there are no vehicles in front both of these issues happen intermittently and can cause an unsafe driving condition when triggered the vehicle has been at a dealer service department on five occasions the dealer is unable to resolve the issue when driving this vehicle on a two lane road the vehicle will give False forward collision alerts from oncoming vehicles in the opposing lane when driving on a four lane highway with adaptive cruise control engaged vehicles driving slower in the lane to your left will cause the vehicle to slow down suddenly there are no vehicles in front both of these issues happen intermittently and can cause an unsafe driving condition when triggered the vehicle has been at a dealer service department on five occasions the dealer is unable to resolve the issue
91,tl the contact owns a 2013 kia sorento the contact stated that the while driving the vehicle in the rain the battery failure warning light illuminated the vehicle loss power steering assist the steering wheel became difficult to turn in either direction the cause of the failures were not determined the local dealer and manufacturer were not notified of the failure the failure mileage was 9500000
92,tesla mcu fails intermittently- rendering autopilot and all safety features associated useless also causes extreme scare to driver when failure occurs as they believe car is offnot working occurs on numerous occasions both on startup and while driving
93,tl the contact owns a 2019 nissan rogue the contact stated that while driving approximately 75 mph the automatic emergency braking system erroneously activated causing the vehicle to abruptly stop during the failure there were no other vehicles or objects nearby to cause the emergency braking system to be activated the vehicle was taken to the local dealer orr nissan located at 3131 e beebe capps expy searcy ar 72143 who was unable to duplicate the failure the vehicle was not repaired the manufacturer was not notified of the failure the failure mileage was 3000000
94,without cause the vehicle will suddenly detect the presence of another vehicle andor sense an imminent collision and subsequently applies the automatic braking system causing the vehicle speed to suddenly decrease this has happened repeatedly over the course of driving the car and resulted in being almost rear ended numerous times this is a very dangerous scenario and could easily cause a severe accident especially on the freeway when everyone around is going really fast and needs more time to react to the sudden and sharp slowing down of my vehicle this happens in various locations freeway highway or in the city i have taken the car to the dealership numerous times to have this fixed but get a different answer every time i without cause the vehicle will suddenly detect the presence of another vehicle andor sense an imminent collision and subsequently applies the automatic braking system causing the vehicle speed to suddenly decrease this has happened repeatedly over the course of driving the car and resulted in being almost rear ended numerous times this is a very dangerous scenario and could easily cause a severe accident especially on the freeway when everyone around is going really fast and needs more time to react to the sudden and sharp slowing down of my vehicle this happens in various locations freeway highway or in the city i have taken the car to the dealership numerous times to have this fixed but get a different answer every time i
95,tl the contacts boyfriend owns a 2020 hyundai elantra the contact stated that while driving at various speeds the forward collision avoidance system activated independently the contact also stated that the forward collision avoidance warning light was displayed on the instrument panel the contact had initially taken the vehicle to mitchell hyundai 1600 e park ave enterprise al 36330 where the service tech stated that the dealer tag may have caused the issue the contact disputed the claim the failure recurred twice the manufacturer was not notified of the failure the vehicle was not repaired the failure mileage was approximately 1700dt
96,if you slow to a roll then try to accelerate it jerks real bad like it does not know what gear to go into tapping from the engine bay that comes and goes the brake assist feature cause my rotors to get warped right after replacing them lane keeping assist will yank you over into a turning lane if you arent super careful
97,driving 75 miles per hour on interstate while passing two vehicles and one car behind me the car made a dinging noise the adaptive cruise not available light illuminated and the car decelerated causing the car behind me to have to brake if i had not stepped on the accelerator the car behind may have hit me this has happened on four different dates and on one trip it happened 8 times in 80 miles this is a safety hazard that could cause rear end collision at high speed the repair shop at my chevy dealer in town says there are no error codes and the adaptive cruise is working as designed is i get hit from behind at high speed this could
98,while driving at approximately 20mph with no vehicle or obstruction in front of me my rogue automatically braked flashed a warning bar in the dash and came to a complete stop while physically shaking and making a grinding noise the car had engaged the automatic emergency braking system without cause this occurred at 800pm night and about 20 feet before a railroad crossing on a two-lane street in a rural town but there was no train present it took several seconds to regain control of the car and begin driving again the car following me was far enough behind to avoid a rear collision and was able to navigate around my stopped vehicle i have reported the occurrence to fred
99,while driving at highway speeds with the adaptive cruise control engaged the vehicle detects vehicles to the right same direction of travel or at times vehicles to the left opposite direction of travel and abruptly applied backing no vehicles will actually be in lane of travel of the vehicle to cause action on a 87 mile drive one way to work happens more than eight times on first drive and over ten time on second drive vehicle has under 1500 miles on it and was purchased brand new taken to acura and told to turn off lane departure system unless in city traffic system turned off and did not correct issue the abrupt braking causes drivers behind to abruptly brake increasing risk of crash
100,my son was driving on the golden gate bridge when the auto pilot applied the brakes he said a traffic cone appeared on the screen there was no traffic cone or any other object in the road this issue caused an accident behind him because of the sudden brake application this also happened to me while driving on the freeway i had the car on cruise control all of a sudden the brakes were automatically applied without anything in the road
101,2017 nissan maxima sl had abs recall serviced at tim dahle nissan of orem utah retrieved car after service was completed and shortly after my fry into emergency braking system deactivates after driving about 2021-05-08 00:00:00 minutes every time i get in my car when i turn off my car and restart my car it works again i called the dealership where work was performed and they stated fixing the recall would not have caused this issue and that i would have to pay for a diagnostic check 1xxxx and i dont recall the estimated prices she stated for the sensors brackets and labor i will be contacting nissan themselves to see what option
102,tl the contact owns a 2013 ford explorer the contact stated that after starting the vehicle the power steering assist message was displayed on the instrument panel the steering wheel was difficult to turn in either direction the cause of the failure was not yet determined the manufacturer was notified and indicated there were no recalls associated with the failure the local dealer was not contacted the failure mileage was 18000000
103,1 the display screen went black while driving using navigation the fault was a defective hmi module gm part 84296482 at a cost of 1100 see attached document the sudden loss of the screen was disconcerting and could have caused an accident this should lead to a recall and reimbursement of the repair cost 2 when the adaptive cruise control acc causes the brakes to be applied it does so very suddenly and in the abs chattering mode even when there is no collision danger this produces a jolt to the drivers and occupants which is an unexpected and unsafe response 1 the display screen went black while driving using navigation the fault was a defective hmi module gm part 84296482 at a cost of 1100 see attached document the sudden loss of the screen was disconcerting and could have caused an accident this should lead to a recall and reimbursement of the repair cost 2 when the adaptive cruise control acc causes the brakes to be applied it does so very suddenly and in the abs chattering mode even when there is no collision danger this produces a jolt to the drivers and occupants which is an unexpected and unsafe response
104,my wife was driving her brand new nissan rogue 2020 she was headed to work and it was snowing as she was driving down the road the automated emergency braking system literally slammed on the brakes at full force making her slip and go over a curb my wife did not even touch the brakes all she had time to do was brace for the crash if this would have happened on the highway i would not have a wife right now this happened on 1272021 the collision system of the vehicle caused this due to what the vehicle itself is saying malfunction in the front and rear collision systems she was scared to death the collision system is supposed my wife was driving her brand new nissan rogue 2020 she was headed to work and it was snowing as she was driving down the road the automated emergency braking system literally slammed on the brakes at full force making her slip and go over a curb my wife did not even touch the brakes all she had time to do was brace for the crash if this would have happened on the highway i would not have a wife right now this happened on 1272021 the collision system of the vehicle caused this due to what the vehicle itself is saying malfunction in the front and rear collision systems she was scared to death the collision system is supposed
105,tl the contact owns a 2018 nissan rogue the contact stated that while driving approximately 55 mph the vehicle stalled the automatic braking system alarm sounded and caused the stall however the vehicle regained mobility the contact pulled over to the slow lane and continued to drive at a slower speed the contact stated that the feature was disabled whenever they drove the vehicle to avoid the failure from recurring the contact took the vehicle to maus nissan of new port richey 3939 us-19 new port richey fl 34652 -727 999-6287 who informed the contact that the cruise control sensor and bracket needed to be replaced the vehicle had not been
106,when my mcu fails i receive a message that says autopilot safetyconvenience features unavailable teslas text messages to me state - the issue that you experienced with the center display resetting was a continuation of the firmware issue we had identified- this was caused by a known firmware issue- we do have a couple of known firmware issues that causing occasional resets or slow performance- since there are no repairs to be made at this time i will go ahead and close your service request and effectively refusing to repair my car under the warranty adjustment program this issue is not an academic or financial one i was driving on
107,car brakes suddenly without cause brakes are applied abruptly simultaneously with visual warning no obstacle present this occurs at low speed less than 30 mph on city streets seems to be triggered by bright lines on road surface railroad tracks rumble strips perpendicular to travel directionwhen using adaptive cruise control car misinterprets vehicle in deceleration lane on interstate as being present and slowing in travel lane in front of it this results in rapid deceleration in the travel lane fortunately there have not been any vehicles following close when these events occur brought car to dealer multiple times without resolution of the problem car brakes suddenly without cause brakes are applied abruptly simultaneously with visual warning no obstacle present this occurs at low speed less than 30 mph on city streets seems to be triggered by bright lines on road surface railroad tracks rumble strips perpendicular to travel directionwhen using adaptive cruise control car misinterprets vehicle in deceleration lane on interstate as being present and slowing in travel lane in front of it this results in rapid deceleration in the travel lane fortunately there have not been any vehicles following close when these events occur brought car to dealer multiple times without resolution of the problem
108,car suspension felt loose and weird under normal driving city streets and highways changing lanes or going over roads with slight crown or ruts caused the car to suddenly pull and shift erratically above and beyond that experienced in other cars it felt as if theres something not right with the front suspension when this happened on highways while using autopilot experienced at least three times the car swerved left and right erratically after changing lanes in an effort to re-center on the lane without success and i had to take over manually in over to avoid from flipping over or an accident tesla service center inspected the car in late 2019 and said everything is normal
109,automatic emergency braking system engages without cause or warning at both slow and moderate speeds with no obstacle in front of car risk of causing a rear-end accident very high dealership ran diagnostic and found nothing recommends disabling system if issue persists
110,the electronic steering assist will lose power so essentially will cause the power steering to go out at any given time the current temporary remedy is to turn off the key and wait restart the vehicle and the power steering will resume i discovered this doing online research finding that this was a common recall for this vehicle in 2008 and 2009 but the date of manufacture for this vehicle was in 2021-08-08 00:00:00 making it a little over 1 month from being eligible for the recall i contacted gm but was unable to talk to a live person and 2 gm dealers one of which previously sold the car and got no results this started out as a vibration and wobble in the the electronic steering assist will lose power so essentially will cause the power steering to go out at any given time the current temporary remedy is to turn off the key and wait restart the vehicle and the power steering will resume i discovered this doing online research finding that this was a common recall for this vehicle in 2008 and 2009 but the date of manufacture for this vehicle was in 2021-08-08 00:00:00 making it a little over 1 month from being eligible for the recall i contacted gm but was unable to talk to a live person and 2 gm dealers one of which previously sold the car and got no results this started out as a vibration and wobble in the
111,driving on straight multi-lane highway 200 pm in the daytime at 55 mph clear dry weather dry road no vehicles or obstructions of any kind in front of vehicle fortunately no vehicles behind automatic emergency braking system triggered fully without any warning bringing car to sudden stop in high speed travel lane could have caused severe rear end collision had there been anyone behind engine continued to run vehicle would not move until after shifting into park and back into drive subaru could find no reason for erroneous sudden stop function driving on straight multi-lane highway 200 pm in the daytime at 55 mph clear dry weather dry road no vehicles or obstructions of any kind in front of vehicle fortunately no vehicles behind automatic emergency braking system triggered fully without any warning bringing car to sudden stop in high speed travel lane could have caused severe rear end collision had there been anyone behind engine continued to run vehicle would not move until after shifting into park and back into drive subaru could find no reason for erroneous sudden stop function
112,i was driving 40mph up beach blvd no traffic immediately near me the forward collision avoidance system beeped and flashed brake brake brake without cause the car stopped suddenly this is the second reported incident with this same car in less than a year i immediately called honda dealership no recalls or probable cause after last incident there were some new updates installed on the car told i would never have any more issues - a freak occurrence my fear is that it will happen again with a semi behind me this safety feature may very well be deadly
113,tl the contact owns a 2019 subaru forester the contact stated that while driving approximately 35 mph the forward collision avoidance system erroneously activated causing the vehicle to abruptly stop in the middle of roadway the contact indicated that during the failure there was no objects or vehicles nearby to cause the braking system to activate the cause of the failure was not yet determined the local dealer royal subaru located 3333 east 3rd st bloomington in 47401 and the manufacturer were notified of the failure however no assistance was offered the failure mileage was 1290000
114,the lane assist feature only an option when using adaptive cruise control not the same as lane centering when not using the adaptive cruise control the basics lane centering works just fine seems overly aggressive each time i have used lane assist with cruise control it jerks the car very abruptly at times almost to the extent of sending it into another lane if i do not intervene i no longer feel safe using lane assist so i turn it off when using cruise control i am very concerned its going to cause an accident this has happened at least 5 times now while driving on the freeway every time i have attempted to use lane assist
115,the 2021 ascent has lane centering assist with very strict margins it is a constant tug of war with the vehicle when lane centering is active when you let the car take over it violently jerks you into the next lane this problem has been cross checked with other users on a subaru forum and all have the same issue the car overcorrects and is prone to cause an accident at some point i am lucky no one was in the lane next to me when the car swerved me into the next lane my 2021 is a replacement of a 2020 model because the 2020 was deemed a lemon the 2020 model did not have lane centering
116,tl the contact owns a 2018 nissan rogue the contact stated that while driving approximately 40 mph the automatic emergency braking system suddenly activated causing vehicle to abruptly stop in the middle of the highway the contact indicated that the failure had occurred on multiple occasions the cause of the failure was not determined the local dealer courtesy nissan of tampa located at 3800 w hillsborough ave tampa fl 33614 was notified of the failure the manufacturer was not contacted the failure mileage was 6400000
117,i have a 2020 nissan murano that had 3 occurrences in a 48 hour period where the automatic emergency braking system caused my car to stop immediately with no warning or obstruction in the road the 1st incident occurred when i was traveling approximately 30 miles per hour on a city street my car went from 30 to False with no warning the motor didnt stall out the car was still idling but the car just stopped on the road i was not braking at the time im thankful no vehicle was traveling behind me at the time the next 2 occurrences happened while backing out of my drive way again there was nothing in the way to obstruct the
118,tl the contact owns a 2017 nissan rogue the contact stated that while driving at various speeds the automatic emergency braking system independently activated causing the vehicle to abruptly stop even though there was no other vehicle nearby additionally the vehicle would randomly shut-off while driving without warning the cause of the failures were not yet determined the local dealer crown nissan located at 3900 w wendover ave greensboro nc 27407 and the manufacturer were notified of the failure the approximate failure mileage was 4500000
119,at 5000 total vehicle miles our 2019 model s performance had sudden and complete power steering assist failure at highway speeds possibly concurrent with autopilot autosteer failure either i or the autopilot system turned off the autopilot feature at or near a slight curve on an interstate freeway immediate startle reaction was that the autopilot feature was fighting me for control as i turned the steering wheel to keep the car on the freeway with extreme effort the reality is most likely that this fighting was only the immediate impression caused by the massive amount of effort required to turn the steering wheel despite being at speeds in the 60-70 mph range soon
120,the fuel pumps made by supplier denso were exposed to production solvent drying for longer periods of time during manufacturing according to the nhtsa recall report which could cause surface cracking and excessive fuel absorption and eventually cause the impeller to become deformed and fail the fuel pumps on vehicles produced outside limited dates given on the report do not have the problem this recall did not include the 2018 honda accord models even though they are having the exact same issues my car is stalling the emissions warning light is on along with the adaptive cruise control lane departure and the collision mitigation i feel this should be included in the recall the put in place last
121,regularly perhaps every 2 months my cars automatic emergency braking system will activate without cause it has always happened on a highway and it seems to be related to when i pass a large truck the system will trigger causing a beeping noise and an image of a car to show up in the heads-up display about half the time the brakes will be applied very hard this situation only lasts for perhaps a second or two and then disappears there is never a car in front of me so there is no threat and no reason for the system to trigger as i mentioned it seems like this False or phantom trigger coincides with passing a large truck part of my regularly perhaps every 2 months my cars automatic emergency braking system will activate without cause it has always happened on a highway and it seems to be related to when i pass a large truck the system will trigger causing a beeping noise and an image of a car to show up in the heads-up display about half the time the brakes will be applied very hard this situation only lasts for perhaps a second or two and then disappears there is never a car in front of me so there is no threat and no reason for the system to trigger as i mentioned it seems like this False or phantom trigger coincides with passing a large truck part of my
122,tl the contact owns a 2019 ram 1500 the contact stated while reversing out of a parking spot the vehicle loss power steering assist and was difficult to turn there was no warning light illuminated the contact had the vehicle towed to his residence the vehicle was not taken to the local dealer nor an independent mechanic to be diagnosed or repaired the contact referenced an unknown recall as a possible cause for the failure the manufacturer was informed of the failure and informed the contact that the vin was not under recall the failure mileage was approximately 3789000
123,the lane keeping feature will randomly cause the vehicle to veer towards the center line at a variety of speeds and under a variety of conditions requiring immediate driver correction to avoid crossing the center line no accident has occurred but the system is now deactivated in addition the collision avoidance system does not reliably acquire a vehicle ahead if that vehicle is stopped and the speed differential is 30-40 mph without driver manual braking a crash would occur
124,tl the contact owns a 2013 ford escape the contact stated that while operating the vehicle the power steering malfunctioned causing the steering wheel to become very difficult to turn in either direction during the steering assist fault message was displayed on the instrument panel the cause of the failure was not yet determined the local dealer sam galloway ford located at 1800 boy scout dr fort myers fl 33907 was notified of the failure the manufacturer was not yet contacted the failure mileage was 5600000
125,the front seats in this car have been repaired once by the front dealer it did not work and three calls to escalate to ford headquarters have never been returned the seat is so uncomfortable feels like riding on a buckboard that after a couple hour trip it pinched a nerve in my hip and my slow response to applying the brake almost caused an accident the emergency braking system took over and stopped my car i now have sciatica because of this seat and am being treated for it it has been into the dealer at least four times and even the service manager tried the seat and agreed that there is a problem he has been helpful but ford
126,i was driving the car in the giant eagle parking lot and the power assist for the steering stopped working a notice came on the dashboard screen indicating the same and stated that this malfunction could cause a crash i stopped the car turned the engine off and restarted the car the notice on the dashboard went away and the steering power assist functioned normally i drove the car for a week without recurrence i made an appointment at the gmc dealership and after looking at the vehicle they concluded that they could not identify the problem since the steering was operating properly i had indicated that there was a recall notice nhsta reference s 15595 and
127,power steering has failed multiple times on the vehicle the dashboard displays power steering assist fault and the steering wheel is locked this occurred both when the vehicle was stationary and in motion fortunately i was driving in a safe location each time but had it been on a highway this would have caused a crash there is a recall for this specific issue on 2011 mercury milans but not on 2010 models
128,steering wheel locked up while trying to back out of a parking space got warning message on the dash power steering assist fault could not turn wheel so could have cause an accident have not had the problem looked at yet as it just happened 10 minutes ago the fault message was only visible after the steering wheel locked up i had no prior warning of the steering failure
129,1 backup camera will periodically display a blank screen when shifted into reverse system has to be shutdown and restarted to get the camera to work again tends to happen on rainy days when camera most needed no accident has occurred as a result to date date of last occurrence is an approximation 2 distronic plus system adaptive cruise will disengage unexpectedly when coming to a stop in traffic or if in stop and go traffic the system beeps once and a red light flashes but this is easily missed if radio is playing or driver is distracted this has almost caused several roll forward rear-end collisions prevented only by quick driver intervention neither issue has 1 backup camera will periodically display a blank screen when shifted into reverse system has to be shutdown and restarted to get the camera to work again tends to happen on rainy days when camera most needed no accident has occurred as a result to date date of last occurrence is an approximation 2 distronic plus system adaptive cruise will disengage unexpectedly when coming to a stop in traffic or if in stop and go traffic the system beeps once and a red light flashes but this is easily missed if radio is playing or driver is distracted this has almost caused several roll forward rear-end collisions prevented only by quick driver intervention neither issue has
130,the contact owns a 2011 dodge durango the contact stated that while driving at various speeds the vehicle would independently stop as the forward collision avoidance warning light would illuminate on the instrument panel the contact then received notification of nhtsa campaign number 19v813000 electrical system and took the vehicle to a dealer for the recall repair upon return of the vehicle the contact stated that the failure recurred on three separate occasions the contact took the vehicle back to the dealer where they were unable to diagnose the cause of the failure the manufacturer was not notified of the failure the vehicle was not repaired the failure mileage was approximately 8700000
131,cadillac case number is 9-6766521074 the cadillac ct6 has a flaw in the intelligent braking assistiba software when no collision is imminent pushing the brake even slightly results in extremely hard overbraking causing all items to fly forward there is no way to turn off iba without disabling the entire automatic emergency braking system to be clear it is ok that the car senses inaccurately a collision and it is ok to apply the automatic emergency braking logic the problem is that the intelligent braking assist is too hard when a crash is not imminent and this will cause following cars to rearend the xt6 when no hazard cadillac case number is 9-6766521074 the cadillac ct6 has a flaw in the intelligent braking assistiba software when no collision is imminent pushing the brake even slightly results in extremely hard overbraking causing all items to fly forward there is no way to turn off iba without disabling the entire automatic emergency braking system to be clear it is ok that the car senses inaccurately a collision and it is ok to apply the automatic emergency braking logic the problem is that the intelligent braking assist is too hard when a crash is not imminent and this will cause following cars to rearend the xt6 when no hazard
132,i consider this a vehicle safety issue was on the freeway center lane of a 3 lane highway the vehicle to my left began to move into my lane i had to quickly move to my right activating my lane departure and steering assist this caused my vehicle to attempt to move me back into my lane where the other driver was now trying to occupy i was shown how to disable this feature if desired but what i wasnt told by the dealer is that this feature can no longer be set to default to off i just finished a lease of a 2018 toyota rav4 which also had this feature but once i disabled it it was disabled unless
133,1 the infotainment system crashed happens often which caused the touchscreen in the center control stack to turn black and become unresponsive this also caused the eyesight safety system adaptive cruise control with lane keep assist and reverse auto braking to all shut down my dashboard lit up with warning lights and errors 2 not only is this an annoyance but having all of the safety systems in my car unexpectedly shut down is extremely unsafe especially adaptive cruise control other functions of my car such as the radio and climate controls are also inaccessible when this happens 3 a subaru dealer has replaced the touchscreen in my vehicle to try and remedy the slowness and
134,i started the truck after not driving for 1 day and a heavy rain storm the day prior i attempted to drive bobtail when the brakes locked up the traction control light came on then went back off then the adaptive cruise control notification came on the regon came on then went back off a speedometer sign with an exclamation mark came up and would not go away after attempting to go down the road the brakes continued to lock up would not release and caused the rear passenger tires to go bald and lose my job
135,this is new honda pilot 2021 trim ex-l purchase in 2021-12-20 00:00:00 miles 3300 it seems honda is having software issues without on of lane keeping assist system lkas feature is activating automatically and taking over driving or steering of the vehicle and attempt to steer the vehicle back into the center of the lane basically its giving False indicator without on of lkas feature and due to this issue driver is becoming panic situation this will be safety issue and this will cause problems for others safety as wellputting other at risk while driving this is appearing from past one week onwards called honda customer care about this issue and informed they have taken a notes this is new honda pilot 2021 trim ex-l purchase in 2021-12-20 00:00:00 miles 3300 it seems honda is having software issues without on of lane keeping assist system lkas feature is activating automatically and taking over driving or steering of the vehicle and attempt to steer the vehicle back into the center of the lane basically its giving False indicator without on of lkas feature and due to this issue driver is becoming panic situation this will be safety issue and this will cause problems for others safety as wellputting other at risk while driving this is appearing from past one week onwards called honda customer care about this issue and informed they have taken a notes
